model,task,eval_split,score_threshold,cutoff,group,n_images,n_gt,n_pred,n_unmatched,n_forgiven,recall,precision,f1
Detectree2,TreePolygons,validation,0.1,0.4,Allen et al. 2025,24,1604,2400,1691,1222,0.4872817110394722,0.6062192771258632,0.5402822124900333
Detectree2,TreePolygons,validation,0.1,0.4,Frey et al. 2026,61,2725,6100,4847,4174,0.4333467750091916,0.6599000350950244,0.523149117644571
Detectree2,TreePolygons,validation,0.1,0.45,overall (macro),85,4329,8500,6538,5389,0.4603142430243319,0.6316477819537774,0.5325395278537824
Detectree2,TreePolygons,validation,0.1,0.45,Allen et al. 2025,24,1604,2400,1691,1215,0.4872817110394722,0.6033955288125304,0.5391578644351906
Detectree2,TreePolygons,validation,0.1,0.45,Frey et al. 2026,61,2725,6100,4847,4174,0.4333467750091916,0.6599000350950244,0.523149117644571
Detectree2,TreePolygons,validation,0.1,0.5,overall (macro),85,4329,8500,6538,5386,0.4603142430243319,0.631323683735255,0.5324243074708186
Detectree2,TreePolygons,validation,0.1,0.5,Allen et al. 2025,24,1604,2400,1691,1212,0.4872817110394722,0.6027473323754857,0.5388989462597171
Detectree2,TreePolygons,validation,0.1,0.5,Frey et al. 2026,61,2725,6100,4847,4174,0.4333467750091916,0.6599000350950244,0.523149117644571
Detectree2,TreePolygons,validation,0.1,0.55,overall (macro),85,4329,8500,6538,5377,0.4603142430243319,0.6295314582461498,0.5317859148772492
Detectree2,TreePolygons,validation,0.1,0.55,Allen et al. 2025,24,1604,2400,1691,1203,0.4872817110394722,0.5991628813972752,0.5374615807765688
Detectree2,TreePolygons,validation,0.1,0.55,Frey et al. 2026,61,2725,6100,4847,4174,0.4333467750091916,0.6599000350950244,0.523149117644571
Detectree2,TreePolygons,validation,0.1,0.6,overall (macro),85,4329,8500,6538,5371,0.4603142430243319,0.6286239544487828,0.5314618596547079
Detectree2,TreePolygons,validation,0.1,0.6,Allen et al. 2025,24,1604,2400,1691,1198,0.4872817110394722,0.5976510242351138,0.5368524779926992
Detectree2,TreePolygons,validation,0.1,0.6,Frey et al. 2026,61,2725,6100,4847,4173,0.4333467750091916,0.6595968846624519,0.5230538285211469
Detectree2,TreePolygons,validation,0.1,0.65,overall (macro),85,4329,8500,6538,5361,0.4603142430243319,0.6267195121579947,0.530780054349275
Detectree2,TreePolygons,validation,0.1,0.65,Allen et al. 2025,24,1604,2400,1691,1189,0.4872817110394722,0.5952082598721166,0.5358647324022183
Detectree2,TreePolygons,validation,0.1,0.65,Frey et al. 2026,61,2725,6100,4847,4172,0.4333467750091916,0.6582307644438729,0.5226237599694621
Detectree2,TreePolygons,validation,0.1,0.7,overall (macro),85,4329,8500,6538,5353,0.4603142430243319,0.6251818478401616,0.5302278128185755
Detectree2,TreePolygons,validation,0.1,0.7,Allen et al. 2025,24,1604,2400,1691,1182,0.4872817110394722,0.5930436780488365,0.5349857387035027
Detectree2,TreePolygons,validation,0.1,0.7,Frey et al. 2026,61,2725,6100,4847,4171,0.4333467750091916,0.6573200176314866,0.5223364490632899
Detectree2,TreePolygons,validation,0.1,0.75,overall (macro),85,4329,8500,6538,5348,0.4603142430243319,0.6242731622383957,0.5299007285568899
Detectree2,TreePolygons,validation,0.1,0.75,Allen et al. 2025,24,1604,2400,1691,1177,0.4872817110394722,0.5912263068453046,0.5342450155839393
